Start Time, Wed Dec 3 16:52:22 GMT-0700 2025
Energy calibration,  Offset: -0.13771282136440277, Slope: 0.09197762608528137, Quadratic: 0
Live Time (s), 7.07
Real Time (s), 7.4
Elapsed Computational, 2848
Spectrum
Channel, Energy (keV), Counts
1, -0.0457351952791214, 0
2, 0.04624243080615997, 0
3, 0.13822005689144135, 0
4, 0.23019768297672272, 0
5, 0.3221753090620041, 0
6, 0.41415293514728546, 0
7, 0.5061305612325668, 0
8, 0.5981081873178482, 0
9, 0.6900858134031296, 0
10, 0.782063439488411, 0
11, 0.8740410655736923, 0
12, 0.9660186916589737, 0
13, 1.057996317744255, 0
14, 1.1499739438295364, 0
15, 1.2419515699148178, 0
16, 1.3339291960000992, 0
17, 1.4259068220853806, 0
18, 1.517884448170662, 0
19, 1.6098620742559433, 0
20, 1.7018397003412247, 0
21, 1.793817326426506, 0
22, 1.8857949525117874, 4
23, 1.9777725785970688, 4
24, 2.06975020468235, 3
25, 2.1617278307676315, 1
26, 2.253705456852913, 4
27, 2.3456830829381943, 3
28, 2.4376607090234756, 6
29, 2.529638335108757, 1
30, 2.6216159611940384, 2
31, 2.7135935872793198, 5
32, 2.805571213364601, 6
33, 2.8975488394498825, 6
34, 2.989526465535164, 2
35, 3.0815040916204453, 6
36, 3.1734817177057266, 5
37, 3.265459343791008, 5
38, 3.3574369698762894, 2
39, 3.4494145959615707, 4
40, 3.541392222046852, 6
41, 3.6333698481321335, 4
42, 3.725347474217415, 5
43, 3.8173251003026962, 4
44, 3.9093027263879776, 9
45, 4.001280352473259, 5
46, 4.09325797855854, 4
47, 4.185235604643822, 8
48, 4.277213230729103, 4
49, 4.3691908568143845, 6
50, 4.461168482899666, 5
51, 4.553146108984947, 3
52, 4.645123735070229, 2
53, 4.73710136115551, 6
54, 4.829078987240791, 3
55, 4.921056613326073, 6
56, 5.013034239411354, 1
57, 5.105011865496635, 2
58, 5.196989491581917, 4
59, 5.288967117667198, 6
60, 5.3809447437524796, 5
61, 5.472922369837761, 2
62, 5.564899995923042, 6
63, 5.656877622008324, 7
64, 5.748855248093605, 2
65, 5.840832874178886, 7
66, 5.932810500264168, 4
67, 6.024788126349449, 1
68, 6.1167657524347305, 2
69, 6.208743378520012, 0
70, 6.300721004605293, 4
71, 6.392698630690575, 4
72, 6.484676256775856, 3
73, 6.576653882861137, 5
74, 6.668631508946419, 0
75, 6.7606091350317, 2
76, 6.8525867611169815, 4
77, 6.944564387202263, 2
78, 7.036542013287544, 3
79, 7.128519639372826, 1
80, 7.220497265458107, 3
81, 7.312474891543388, 6
82, 7.40445251762867, 1
83, 7.496430143713951, 1
84, 7.5884077697992325, 6
85, 7.680385395884514, 5
86, 7.772363021969795, 8
87, 7.864340648055077, 1
88, 7.956318274140358, 2
89, 8.04829590022564, 5
90, 8.14027352631092, 3
91, 8.232251152396202, 3
92, 8.324228778481483, 0
93, 8.416206404566765, 8
94, 8.508184030652046, 6
95, 8.600161656737328, 5
96, 8.692139282822609, 0
97, 8.78411690890789, 1
98, 8.876094534993172, 6
99, 8.968072161078453, 5
100, 9.060049787163734, 4
101, 9.152027413249016, 3
102, 9.244005039334297, 2
103, 9.335982665419579, 3
104, 9.42796029150486, 5
105, 9.519937917590141, 7
106, 9.611915543675423, 2
107, 9.703893169760704, 5
108, 9.795870795845985, 6
109, 9.887848421931267, 3
110, 9.979826048016548, 5
111, 10.07180367410183, 6
112, 10.163781300187111, 2
113, 10.255758926272392, 0
114, 10.347736552357674, 5
115, 10.439714178442955, 3
116, 10.531691804528236, 2
117, 10.623669430613518, 3
118, 10.7156470566988, 3
119, 10.80762468278408, 4
120, 10.899602308869362, 3
121, 10.991579934954643, 3
122, 11.083557561039925, 7
123, 11.175535187125206, 2
124, 11.267512813210487, 4
125, 11.359490439295769, 2
126, 11.45146806538105, 3
127, 11.543445691466331, 5
128, 11.635423317551613, 3
129, 11.727400943636894, 1
130, 11.819378569722176, 1
131, 11.911356195807457, 2
132, 12.003333821892738, 1
133, 12.09531144797802, 1
134, 12.187289074063301, 3
135, 12.279266700148582, 2
136, 12.371244326233864, 7
137, 12.463221952319145, 8
138, 12.555199578404427, 7
139, 12.647177204489708, 5
140, 12.73915483057499, 6
141, 12.83113245666027, 6
142, 12.923110082745552, 1
143, 13.015087708830833, 2
144, 13.107065334916115, 1
145, 13.199042961001396, 3
146, 13.291020587086678, 3
147, 13.382998213171959, 0
148, 13.47497583925724, 7
149, 13.566953465342522, 3
150, 13.658931091427803, 5
151, 13.750908717513084, 4
152, 13.842886343598366, 2
153, 13.934863969683647, 5
154, 14.026841595768929, 2
155, 14.11881922185421, 0
156, 14.210796847939491, 4
157, 14.302774474024773, 3
158, 14.394752100110054, 1
